Vs,Vg,Vd,Id,Is,Qs,Qd,Ig,Qg,Vb,Ib,Qb
6.00E-01,9.00E-01,1.10E-01,-1.27E-04,1.27E-04,8.62E-16,-1.87E-15,-7.00E-32,5.49E-15,0.00E+00,-1.37E-16,-4.10E-15
6.00E-01,1.00E+00,1.80E-01,-1.26E-04,1.26E-04,8.27E-16,-1.96E-15,7.47E-31,5.77E-15,0.00E+00,-1.90E-12,-4.25E-15
6.00E-01,8.00E-01,4.00E-02,-1.26E-04,1.26E-04,9.00E-16,-1.80E-15,-3.35E-31,5.25E-15,0.00E+00,1.25E-15,-3.96E-15
6.00E-01,1.10E+00,2.30E-01,-1.25E-04,1.25E-04,7.95E-16,-2.17E-15,-1.29E-31,6.20E-15,0.00E+00,-3.37E-16,-4.43E-15
6.00E-01,1.20E+00,2.60E-01,-1.25E-04,1.25E-04,7.67E-16,-2.51E-15,2.29E-31,6.78E-15,0.00E+00,-2.89E-16,-4.65E-15
6.00E-01,9.00E-01,1.20E-01,-1.24E-04,1.24E-04,8.62E-16,-1.84E-15,-2.40E-31,5.46E-15,0.00E+00,-4.75E-16,-4.10E-15
6.00E-01,1.00E+00,1.90E-01,-1.23E-04,1.23E-04,8.27E-16,-1.93E-15,6.44E-32,5.73E-15,0.00E+00,-9.73E-15,-4.24E-15
3.00E-01,1.10E+00,-3.00E-34,-1.23E-04,1.23E-04,6.50E-16,-3.61E-15,-5.54E-31,8.14E-15,0.00E+00,-6.71E-17,-4.80E-15
3.00E-01,1.20E+00,1.00E-02,-1.23E-04,1.23E-04,6.25E-16,-4.07E-15,-2.25E-32,8.89E-15,0.00E+00,-5.37E-17,-5.06E-15
6.00E-01,8.00E-01,5.00E-02,-1.23E-04,1.23E-04,8.99E-16,-1.76E-15,5.47E-32,5.21E-15,0.00E+00,1.22E-15,-3.96E-15
6.00E-01,1.10E+00,2.40E-01,-1.22E-04,1.22E-04,7.95E-16,-2.14E-15,-1.80E-31,6.17E-15,0.00E+00,-4.65E-16,-4.43E-15
6.00E-01,1.20E+00,2.70E-01,-1.21E-04,1.21E-04,7.66E-16,-2.48E-15,2.00E-31,6.75E-15,0.00E+00,-4.43E-16,-4.65E-15
6.00E-01,9.00E-01,1.30E-01,-1.21E-04,1.21E-04,8.61E-16,-1.80E-15,-5.47E-32,5.42E-15,0.00E+00,-8.81E-16,-4.09E-15
6.00E-01,1.00E+00,2.00E-01,-1.20E-04,1.20E-04,8.26E-16,-1.90E-15,-4.76E-31,5.70E-15,0.00E+00,-1.81E-12,-4.24E-15
6.00E-01,8.00E-01,6.00E-02,-1.20E-04,1.20E-04,8.99E-16,-1.73E-15,-5.41E-31,5.18E-15,0.00E+00,1.18E-15,-3.96E-15
3.00E-01,1.10E+00,1.00E-02,-1.19E-04,1.19E-04,6.50E-16,-3.58E-15,2.58E-32,8.12E-15,0.00E+00,-2.09E-16,-4.80E-15
