#"source OuterVoltage","source TotalCurrent","source Charge","drain OuterVoltage","drain TotalCurrent","drain Charge","gate OuterVoltage","gate TotalCurrent","gate Charge","substrate OuterVoltage","substrate TotalCurrent","substrate Charge"
-3.19929210452509E-34,-5.54104058460562E-08,7.59880706717558E-16,8.00000000000000E-01,5.54104063113889E-08,3.37537515479778E-15,0.00000000000000E+00,1.28758273655455E-32,-6.20167836136924E-16,0.00000000000000E+00,-4.65283256973191E-16,-3.12902793389622E-15
-3.99586959122020E-34,-5.54720834391897E-08,7.59852561329511E-16,8.10000000000000E-01,5.54720839082428E-08,3.39485050535233E-15,0.00000000000000E+00,-1.20702838070300E-33,-6.31208378220523E-16,0.00000000000000E+00,-4.68971447238212E-16,-3.13743519314629E-15
2.10979014611426E-33,-5.55336289833348E-08,7.59824275135234E-16,8.20000000000001E-01,5.55336294563257E-08,3.41419710828363E-15,0.00000000000000E+00,6.43802913695710E-33,-6.42137376260088E-16,0.00000000000000E+00,-4.73098187338856E-16,-3.14582502387725E-15
2.06996370288946E-33,-5.55950400054643E-08,7.59795849450977E-16,8.30000000000000E-01,5.55950404825169E-08,3.43341856051111E-15,0.00000000000000E+00,-3.29938727557160E-32,-6.52958348184089E-16,0.00000000000000E+00,-4.76925095883302E-16,-3.15419750499321E-15
2.03013725966467E-33,-5.56563142113127E-08,7.59767285582653E-16,8.40000000000001E-01,5.56563146918999E-08,3.45251823503918E-15,0.00000000000000E+00,-5.97511459499682E-32,-6.63674589534444E-16,0.00000000000000E+00,-4.80724685718370E-16,-3.16255271377782E-15
1.99031081643986E-33,-5.57174494291963E-08,7.59738584833893E-16,8.50000000000001E-01,5.57174499139612E-08,3.47149925822395E-15,0.00000000000000E+00,4.02373913330358E-33,-6.74289144460744E-16,0.00000000000000E+00,-4.84750030061970E-16,-3.17089073222120E-15
1.95048437321505E-33,-5.57784436495883E-08,7.59709748495853E-16,8.60000000000001E-01,5.57784441385382E-08,3.49036449342716E-15,0.00000000000000E+00,-3.62126521604139E-32,-6.84804791427510E-16,0.00000000000000E+00,-4.88853133205955E-16,-3.17921164494870E-15
6.36061017979626E-34,-5.58392950524966E-08,7.59680777841296E-16,8.70000000000001E-01,5.58392955453375E-08,3.50911653166084E-15,0.00000000000000E+00,-4.50647014482353E-32,-6.95224036074905E-16,0.00000000000000E+00,-4.92954633374143E-16,-3.18751553696917E-15
5.96239436974723E-34,-5.59000019624602E-08,7.59651674131064E-16,8.80000000000001E-01,5.59000024599274E-08,3.52775768929305E-15,0.00000000000000E+00,-4.74788777638326E-32,-7.05549106147977E-16,0.00000000000000E+00,-4.97428310655592E-16,-3.19580249652474E-15
5.56412993749922E-34,-5.59605628488514E-08,7.59622438614599E-16,8.90000000000001E-01,5.59605633505303E-08,3.54629000824799E-15,0.00000000000000E+00,-5.43191250416422E-32,-7.15781952747530E-16,0.00000000000000E+00,-5.01721541315726E-16,-3.20407261403532E-15
-1.20714336590149E-34,-5.60209763098209E-08,7.59593072534295E-16,9.00000000000001E-01,5.60209768159300E-08,3.56471526177134E-15,0.00000000000000E+00,-8.48989458649274E-32,-7.25924256172006E-16,0.00000000000000E+00,-5.06009833245917E-16,-3.21232598200554E-15
-1.60540779814954E-34,-5.60812410620587E-08,7.59563577128411E-16,9.10000000000001E-01,5.60812415723459E-08,3.58303498013417E-15,0.00000000000000E+00,-7.24255073609383E-32,-7.35977451711372E-16,0.00000000000000E+00,-5.10264640371479E-16,-3.22056269492736E-15
-2.00367223039760E-34,-5.61413559275177E-08,7.59533953627952E-16,9.20000000000001E-01,5.61413564423391E-08,3.60125046071808E-15,0.00000000000000E+00,-4.18458366954539E-32,-7.45942739195009E-16,0.00000000000000E+00,-5.14745570908833E-16,-3.22878284992193E-15
-2.20278013542205E-34,-5.62013198617952E-08,7.59504203253909E-16,9.30000000000001E-01,5.62013203811931E-08,3.61936279155042E-15,0.00000000000000E+00,-5.99522908596521E-32,-7.55821108310634E-16,0.00000000000000E+00,-5.19408138349232E-16,-3.23698654484863E-15
