Vs,Vg,Vd,Is,Ig,Id,Ib,Qs,Qg,Qd,Qb,y
0.7,1.15,6.52E-31,0.000154,-2.58E-31,-0.000154,4.56E-14,9.3E-16,7.75E-15,-3.28E-15,-5.02E-15,0
0.7,1.25,0.076923077,0.000153815,-3.21892E-31,-0.000153815,-8.13317E-16,8.978E-16,7.97935E-15,-3.3222E-15,-5.16678E-15,0
0.7,1.3,0.115384615,0.000152617,4.89271E-31,-0.000152617,-7.05549E-16,8.82322E-16,8.10907E-15,-3.35395E-15,-5.24925E-15,0
0.7,1.45,0.192307692,0.000152508,2.9936E-31,-0.000152508,-3.99843E-16,8.3962E-16,8.75208E-15,-3.64762E-15,-5.55575E-15,0
0.5,1.25,8.81434E-34,0.000152465,-2.83259E-31,-0.000152465,-2.05916E-16,7.83231E-16,8.7071E-15,-3.80177E-15,-5.30031E-15,0
0.5,1.25,-1.14E-34,0.000152,1.03E-31,-0.000152,-5.5E-15,7.83E-16,8.71E-15,-3.8E-15,-5.3E-15,0
0.6,1.3,0.076923077,0.000151966,1.44207E-30,-0.000151966,-4.0085E-16,8.26797E-16,8.47252E-15,-3.59224E-15,-5.31883E-15,0
0.6,1.4,0.115384615,0.000151851,-2.89711E-31,-0.000151851,-2.95051E-16,8.00587E-16,9.00559E-15,-3.86536E-15,-5.55247E-15,0
0.7,1.35,0.153846154,0.000150337,2.12449E-31,-0.000150337,-5.72371E-16,8.67361E-16,8.25857E-15,-3.3974E-15,-5.34031E-15,0
0.5,1.35,0.038461538,0.00015032,-2.57514E-31,-0.00015032,-2.44733E-16,7.57954E-16,9.27434E-15,-4.09501E-15,-5.54891E-15,0
0.6,1.15,1.20112E-32,0.000149499,5.40775E-31,-0.000149499,-2.63484E-16,8.69206E-16,7.87661E-15,-3.32933E-15,-5.02838E-15,0
0.6,1.15,2.15E-34,0.000149,-1.16E-31,-0.000149,-1.92E-16,8.69E-16,7.88E-15,-3.33E-15,-5.03E-15,0
0.6,1.5,0.153846154,0.000148466,5.27886E-31,-0.000148466,-2.70644E-16,7.75361E-16,9.59387E-15,-4.17359E-15,-5.80718E-15,0
0.5,1.5,0.076923077,0.00014824,1.93136E-32,-0.00014824,-1.89461E-16,7.21634E-16,1.02586E-14,-4.64265E-15,-5.94904E-15,0
0.6,1.2,0.038461538,0.000148032,2.7039E-31,-0.000148032,-5.97216E-16,8.54382E-16,8.01064E-15,-3.36234E-15,-5.11454E-15,0
0.5,1.2,-1.14E-34,0.000147,3.09E-31,-0.000147,-2E-16,7.96E-16,8.38E-15,-3.61E-15,-5.18E-15,0
0.6,1.35,0.115384615,0.000146947,-2.09237E-31,-0.000146947,-3.73256E-16,8.13278E-16,8.66936E-15,-3.6633E-15,-5.43107E-15,0
0.5,1.2,-2.33843E-34,0.000146914,2.83266E-31,-0.000146914,-2.14087E-16,7.9602E-16,8.38204E-15,-3.60679E-15,-5.18311E-15,0
0.7,1.4,0.192307692,0.000146717,1.54509E-31,-0.000146717,-4.96692E-16,8.52882E-16,8.4316E-15,-3.45501E-15,-5.44122E-15,0
0.7,1.5,0.230769231,0.00014658,-4.76406E-31,-0.00014658,-1.22586E-16,8.2588E-16,8.96485E-15,-3.72977E-15,-5.6726E-15,0
0.4,1.5,3.15313E-33,0.000146379,-8.24048E-31,-0.000146379,-3.14973E-16,6.65737E-16,1.09497E-14,-5.13173E-15,-6.09505E-15,0
0.5,1.3,0.038461538,0.000146162,6.18028E-31,-0.000146162,-2.89433E-16,7.70288E-16,8.92496E-15,-3.88486E-15,-5.42211E-15,0
0.4,1.5,-1.75E-34,0.000146,-4.15E-31,-0.000146,-2.25E-16,6.66E-16,1.09E-14,-5.13E-15,-6.1E-15,0
0.6,1.25,0.076923077,0.000145403,-4.89276E-31,-0.000145403,-5.14552E-16,8.40073E-16,8.16548E-15,-3.40782E-15,-5.20956E-15,0
0.5,1.45,0.076923077,0.000145379,9.01296E-32,-0.000145379,-2.084E-16,7.33469E-16,9.88712E-15,-4.41815E-15,-5.81397E-15,0
0.7,1.1,-4.13E-34,0.000145,-6.7E-31,-0.000145,-2.11E-16,9.46E-16,7.51E-15,-3.13E-15,-4.94E-15,0
0.7,1.15,0.038461538,0.000144815,6.1803E-31,-0.000144815,-2.97975E-16,9.2918E-16,7.61088E-15,-3.14496E-15,-5.00703E-15,0
0.6,1.45,0.153846154,0.000144776,4.05573E-31,-0.000144776,-2.94429E-16,7.87624E-16,9.2365E-15,-3.95816E-15,-5.67758E-15,0
0.7,1.1,-4.74246E-33,0.000144757,-4.6353E-31,-0.000144757,-1.92807E-16,9.45932E-16,7.50559E-15,-3.12768E-15,-4.93581E-15,0
0.7,1.2,0.076923077,0.000144643,-1.48073E-31,-0.000144643,-7.9219E-16,9.12792E-16,7.72074E-15,-3.16526E-15,-5.08017E-15,0
0.4,1.45,-1.94527E-33,0.000144115,1.03005E-30,-0.000144115,-1.69735E-16,6.77248E-16,1.05682E-14,-4.90062E-15,-5.95629E-15,0
0.7,1.25,0.115384615,0.000144058,-4.4421E-31,-0.000144058,-8.1096E-16,8.96842E-16,7.83861E-15,-3.19039E-15,-5.15693E-15,0
0.4,1.45,-1.83E-34,0.000144,-3.54E-32,-0.000144,-1.67E-16,6.77E-16,1.06E-14,-4.9E-15,-5.96E-15,0
0.7,1.3,0.153846154,0.000142698,6.43779E-31,-0.000142698,-7.26731E-16,8.81397E-16,7.97083E-15,-3.22394E-15,-5.24014E-15,0
0.5,1.4,0.076923077,0.000142221,2.06012E-31,-0.000142221,-2.76591E-16,7.45452E-16,9.52059E-15,-4.19685E-15,-5.68079E-15,0
0.4,1.4,-1.93E-34,0.000142,2.19E-31,-0.000142,-1.95E-16,6.89E-16,1.02E-14,-4.67E-15,-5.82E-15,0
0.7,1.45,0.230769231,0.000141707,-9.65665E-32,-0.000141707,-3.75233E-16,8.38818E-16,8.62781E-15,-3.52691E-15,-5.55145E-15,0
0.4,1.4,-1.95025E-33,0.000141643,-2.57508E-31,-0.000141643,-2.02876E-16,6.88885E-16,1.01901E-14,-4.67177E-15,-5.81879E-15,0
0.5,1.25,0.038461538,0.000141487,-1.80254E-31,-0.000141487,-3.00952E-16,7.82819E-16,8.58425E-15,-3.68004E-15,-5.29882E-15,0
0.6,1.3,0.115384615,0.000141396,8.24033E-31,-0.000141396,-3.97926E-16,8.26216E-16,8.34399E-15,-3.46773E-15,-5.31427E-15,0
0.5,1.15,-1.19E-34,0.000141,5.15E-32,-0.000141,-2.07E-16,8.09E-16,8.07E-15,-3.42E-15,-5.07E-15,0
0.6,1.4,0.153846154,0.000140647,-9.97931E-32,-0.000140647,-3.51949E-16,8.00073E-16,8.88648E-15,-3.74731E-15,-5.55094E-15,0
0.5,1.15,1.67806E-33,0.000140627,-1.2232E-31,-0.000140627,-1.89055E-16,8.09078E-16,8.06935E-15,-3.41907E-15,-5.07127E-15,0
0.6,1.1,1.20112E-32,0.000140454,-1.67384E-31,-0.000140454,-2.35512E-16,8.83776E-16,7.61439E-15,-3.17048E-15,-4.93965E-15,0
0.7,1.35,0.192307692,0.000140149,2.83265E-31,-0.000140149,-5.64267E-16,8.66475E-16,8.12418E-15,-3.26996E-15,-5.33252E-15,0
0.6,1.1,5.22E-30,0.00014,1.55E-31,-0.00014,8.1E-15,8.84E-16,7.61E-15,-3.17E-15,-4.94E-15,0
0.6,1.15,0.038461538,0.000139668,3.81435E-31,-0.000139668,-7.90021E-16,8.68471E-16,7.73545E-15,-3.19618E-15,-5.01968E-15,0
0.4,1.35,-1.94E-34,0.000139,3.22E-31,-0.000139,-1.92E-16,7.01E-16,9.82E-15,-4.45E-15,-5.68E-15,0
0.4,1.35,-1.95522E-33,0.00013893,-2.57518E-32,-0.00013893,-1.83012E-16,7.00655E-16,9.81602E-15,-4.44553E-15,-5.68277E-15,0
0.5,1.35,0.076923077,0.000138712,-3.02579E-31,-0.000138712,-2.47004E-16,7.57592E-16,9.15986E-15,-3.97926E-15,-5.54988E-15,0
0.6,1.2,0.076923077,0.000138014,-3.09015E-31,-0.000138014,-6.17522E-16,8.537E-16,7.87228E-15,-3.23125E-15,-5.10664E-15,0
0.6,1.5,0.192307692,0.000136639,-1.28894E-32,-0.000136639,-3.14793E-16,7.7489E-16,9.48241E-15,-4.06098E-15,-5.8079E-15,0
0.5,1.2,0.038461538,0.000136197,-2.57518E-32,-0.000136197,-3.57487E-16,7.95572E-16,8.25378E-15,-3.4814E-15,-5.17983E-15,0
0.7,1.4,0.230769231,0.000136179,2.31764E-31,-0.000136179,-2.89786E-16,8.52034E-16,8.30173E-15,-3.33056E-15,-5.435E-15,0
0.4,1.3,-2.74E-33,0.000136,1.25E-30,-0.000136,-1.81E-16,7.13E-16,9.45E-15,-4.22E-15,-5.55E-15,0
0.6,1.35,0.153846154,0.000135994,-2.72004E-31,-0.000135994,-3.61605E-16,8.12731E-16,8.54519E-15,-3.54181E-15,-5.42789E-15,0
0.4,1.3,5.84021E-34,0.000135938,-8.24049E-31,-0.000135938,-2.27376E-16,7.12565E-16,9.44652E-15,-4.22229E-15,-5.54849E-15,0
0.5,1.5,0.115384615,0.000135833,-1.06224E-31,-0.000135833,-2.54864E-16,7.21319E-16,1.01541E-14,-4.53421E-15,-5.95266E-15,0
0.7,1.5,0.269230769,0.000135382,1.44207E-30,-0.000135382,-1.96265E-16,8.25104E-16,8.84467E-15,-3.61185E-15,-5.66961E-15,0
0.7,1.15,0.076923077,0.000135164,-2.25328E-31,-0.000135164,-4.46851E-16,9.28171E-16,7.46609E-15,-3.00997E-15,-4.99627E-15,0
0.7,1.1,0.038461538,0.00013512,-3.86323E-32,-0.00013512,-1.53052E-16,9.44922E-16,7.3605E-15,-2.992E-15,-4.92542E-15,0
0.6,1.25,0.115384615,0.000135092,-6.43764E-32,-0.000135092,-5.06205E-16,8.39443E-16,8.03118E-15,-3.27951E-15,-5.203E-15,0
0.7,1.05,1.5E-33,0.000135,1.03E-31,-0.000135,-2.08E-16,9.62E-16,7.26E-15,-2.98E-15,-4.86E-15,0
0.7,1.2,0.115384615,0.00013496,-5.15056E-32,-0.00013496,-9.03104E-16,9.11792E-16,7.57652E-15,-3.03103E-15,-5.06923E-15,0
0.7,1.05,3.55944E-34,0.000134922,-1.80256E-31,-0.000134922,-2.13622E-16,9.61976E-16,7.25799E-15,-2.97626E-15,-4.85574E-15,0
0.5,1.3,0.076923077,0.00013479,8.75542E-31,-0.00013479,-2.92183E-16,7.69904E-16,8.806E-15,-3.76598E-15,-5.42169E-15,0
